campaign_id,channel,objective,start_date,end_date,target_segment,expected_uplift
1,Paid Search,Cross-sell,10/25/2021,11/26/2021,Deal Seekers,0.022
2,Email,Retention,10/24/2021,12/24/2021,Deal Seekers,0.116
3,Email,Reactivation,10/8/2023,11/30/2023,Churn Risk,0.1
4,Display,Reactivation,7/25/2022,10/7/2022,Deal Seekers,0.111
5,Social,Acquisition,7/9/2022,9/29/2022,New Customers,0.144
6,Affiliate,Reactivation,10/20/2021,12/3/2021,New Customers,0.087
7,Paid Search,Cross-sell,7/2/2023,8/10/2023,High Value,0.136
8,Paid Search,Cross-sell,8/23/2021,9/30/2021,Churn Risk,0.128
9,Social,Retention,10/9/2023,12/30/2023,All,0.113
10,Email,Cross-sell,9/1/2022,10/22/2022,Churn Risk,0.034
11,Affiliate,Reactivation,11/2/2022,1/14/2023,Churn Risk,0.104
12,Email,Acquisition,1/20/2021,2/21/2021,Churn Risk,0.032
13,Display,Reactivation,3/19/2022,6/9/2022,Churn Risk,0.063
14,Email,Retention,9/20/2022,9/29/2022,High Value,0.092
15,Social,Retention,4/29/2022,5/10/2022,New Customers,0.086
16,Email,Reactivation,8/10/2023,10/15/2023,All,0.118
17,Display,Retention,4/5/2023,4/24/2023,High Value,0.14
18,Affiliate,Retention,10/9/2022,12/7/2022,All,0.139
19,Affiliate,Acquisition,11/28/2021,1/29/2022,New Customers,0.087
20,Social,Reactivation,7/26/2021,9/23/2021,New Customers,0.059
21,Email,Acquisition,2/21/2023,3/27/2023,Churn Risk,0.09
22,Affiliate,Reactivation,7/2/2022,9/18/2022,High Value,0.038
23,Paid Search,Retention,10/25/2022,1/19/2023,Deal Seekers,0.107
24,Display,Acquisition,11/7/2021,1/6/2022,New Customers,0.063
25,Paid Search,Cross-sell,3/19/2021,4/11/2021,High Value,0.119
26,Email,Reactivation,8/13/2023,11/1/2023,Deal Seekers,0.037
27,Display,Retention,4/1/2022,4/11/2022,New Customers,0.057
28,Affiliate,Acquisition,9/2/2021,9/11/2021,New Customers,0.093
29,Email,Acquisition,12/26/2021,2/26/2022,New Customers,0.14
30,Social,Acquisition,11/4/2023,1/6/2024,Deal Seekers,0.052
31,Affiliate,Cross-sell,10/26/2023,12/3/2023,High Value,0.108
32,Social,Reactivation,8/5/2021,10/16/2021,Churn Risk,0.051
33,Display,Cross-sell,2/15/2022,4/18/2022,All,0.1
34,Email,Reactivation,3/19/2023,5/13/2023,Churn Risk,0.042
35,Display,Acquisition,11/6/2022,11/26/2022,High Value,0.046
36,Display,Reactivation,4/3/2023,6/10/2023,Deal Seekers,0.117
37,Paid Search,Cross-sell,10/20/2022,12/1/2022,Deal Seekers,0.096
38,Paid Search,Reactivation,12/18/2021,1/31/2022,All,0.065
39,Affiliate,Retention,3/8/2023,5/11/2023,New Customers,0.108
40,Display,Cross-sell,7/25/2022,9/7/2022,New Customers,0.105
41,Social,Retention,4/9/2023,4/17/2023,All,0.058
42,Paid Search,Retention,4/22/2023,6/29/2023,High Value,0.051
43,Paid Search,Cross-sell,3/12/2023,4/18/2023,Deal Seekers,0.078
44,Affiliate,Reactivation,1/31/2021,4/17/2021,All,0.141
45,Affiliate,Retention,4/8/2022,6/15/2022,Churn Risk,0.114
46,Social,Cross-sell,3/23/2023,4/17/2023,All,0.03
47,Affiliate,Cross-sell,4/12/2022,6/4/2022,High Value,0.066
48,Paid Search,Acquisition,1/5/2022,4/4/2022,New Customers,0.099
49,Paid Search,Reactivation,4/9/2021,5/24/2021,Deal Seekers,0.128
50,Email,Retention,2/14/2021,3/24/2021,Churn Risk,0.023
